team,total_wins,total_losses,win_percentage,seasons,years,begin,end,position
North Carolina,281,63,0.8168604651162791,10,1980-1989,1980,1989,1
Nevada-Las Vegas,271,65,0.8065476190476191,10,1980-1989,1980,1989,2
Georgetown,269,69,0.7958579881656804,10,1980-1989,1980,1989,3
Louisville,250,96,0.7225433526011561,10,1980-1989,1980,1989,4
Oklahoma,245,90,0.7313432835820896,10,1980-1989,1980,1989,5
Nevada-Las Vegas,283,61,0.8226744186046512,10,1981-1990,1981,1990,1
North Carolina,281,68,0.8051575931232091,10,1981-1990,1981,1990,2
Georgetown,267,70,0.7922848664688428,10,1981-1990,1981,1990,3
Oklahoma,257,83,0.7558823529411764,10,1981-1990,1981,1990,4
Louisville,244,101,0.7072463768115942,10,1981-1990,1981,1990,5
Nevada-Las Vegas,301,50,0.8575498575498576,10,1982-1991,1982,1991,1
North Carolina,281,66,0.8097982708933718,10,1982-1991,1982,1991,2
Oklahoma,268,80,0.7701149425287356,10,1982-1991,1982,1991,3
Georgetown,266,71,0.7893175074183977,10,1982-1991,1982,1991,4
Syracuse,247,84,0.7462235649546828,10,1982-1991,1982,1991,5
Nevada-Las Vegas,307,42,0.8796561604584527,10,1983-1992,1983,1992,1
North Carolina,272,74,0.7861271676300579,10,1983-1992,1983,1992,2
Duke,270,80,0.7714285714285715,10,1983-1992,1983,1992,3
Oklahoma,267,78,0.7739130434782608,10,1983-1992,1983,1992,4
Georgetown,258,74,0.7771084337349398,10,1983-1992,1983,1992,5
Nevada-Las Vegas,300,47,0.8645533141210374,10,1984-1993,1984,1993,1
Duke,283,71,0.7994350282485876,10,1984-1993,1984,1993,2
North Carolina,278,70,0.7988505747126436,10,1984-1993,1984,1993,3
Kansas,267,81,0.7672413793103449,10,1984-1993,1984,1993,4
Oklahoma,263,81,0.7645348837209303,10,1984-1993,1984,1993,5
Duke,287,67,0.8107344632768362,10,1985-1994,1985,1994,1
Nevada-Las Vegas,286,54,0.8411764705882353,10,1985-1994,1985,1994,2
North Carolina,278,74,0.7897727272727273,10,1985-1994,1985,1994,3
Kansas,272,79,0.7749287749287749,10,1985-1994,1985,1994,4
Arizona,256,69,0.7876923076923077,10,1985-1994,1985,1994,5
North Carolina,279,71,0.7971428571428572,10,1986-1995,1986,1995,1
Duke,277,77,0.7824858757062146,10,1986-1995,1986,1995,2
Kansas,271,77,0.7787356321839081,10,1986-1995,1986,1995,3
Nevada-Las Vegas,270,66,0.8035714285714286,10,1986-1995,1986,1995,4
Arizona,258,67,0.7938461538461539,10,1986-1995,1986,1995,5
North Carolina,272,76,0.7816091954022989,10,1987-1996,1987,1996,1
Kansas,265,78,0.7725947521865889,10,1987-1996,1987,1996,2
Arizona,261,65,0.8006134969325154,10,1987-1996,1987,1996,3
Arkansas,260,79,0.7669616519174042,10,1987-1996,1987,1996,4
Duke,258,87,0.7478260869565218,10,1987-1996,1987,1996,5
Kansas,274,69,0.7988338192419825,10,1988-1997,1988,1997,1
Arizona,268,62,0.8121212121212121,10,1988-1997,1988,1997,2
North Carolina,268,79,0.7723342939481268,10,1988-1997,1988,1997,3
Kentucky,259,75,0.7754491017964071,10,1988-1997,1988,1997,4
Arkansas,259,79,0.7662721893491125,10,1988-1997,1988,1997,5
Kansas,282,62,0.8197674418604651,10,1989-1998,1989,1998,1
North Carolina,275,76,0.7834757834757835,10,1989-1998,1989,1998,2
Kentucky,267,73,0.7852941176470588,10,1989-1998,1989,1998,3
Arizona,263,64,0.8042813455657493,10,1989-1998,1989,1998,4
Arkansas,262,79,0.7683284457478006,10,1989-1998,1989,1998,5
Kansas,286,60,0.8265895953757225,10,1990-1999,1990,1999,1
Kentucky,282,63,0.8173913043478261,10,1990-1999,1990,1999,2
Duke,271,78,0.7765042979942693,10,1990-1999,1990,1999,3
North Carolina,270,78,0.7758620689655172,10,1990-1999,1990,1999,4
Arkansas,260,83,0.7580174927113703,10,1990-1999,1990,1999,5
Kentucky,291,59,0.8314285714285714,10,1991-2000,1991,2000,1
Kansas,280,65,0.8115942028985508,10,1991-2000,1991,2000,2
Duke,271,74,0.7855072463768116,10,1991-2000,1991,2000,3
North Carolina,271,79,0.7742857142857142,10,1991-2000,1991,2000,4
Arizona,258,67,0.7938461538461539,10,1991-2000,1991,2000,5
Kentucky,293,63,0.8230337078651685,10,1992-2001,1992,2001,1
Kansas,279,64,0.8134110787172012,10,1992-2001,1992,2001,2
Duke,274,71,0.7942028985507247,10,1992-2001,1992,2001,3
North Carolina,268,80,0.7701149425287356,10,1992-2001,1992,2001,4
Cincinnati,262,71,0.7867867867867868,10,1992-2001,1992,2001,5
Kentucky,286,66,0.8125,10,1993-2002,1993,2002,1
Kansas,285,63,0.8189655172413793,10,1993-2002,1993,2002,2
Duke,271,73,0.7877906976744186,10,1993-2002,1993,2002,3
Cincinnati,264,70,0.7904191616766467,10,1993-2002,1993,2002,4
Connecticut,260,77,0.771513353115727,10,1993-2002,1993,2002,5
Kentucky,288,66,0.8135593220338984,10,1994-2003,1994,2003,1
Kansas,286,64,0.8171428571428572,10,1994-2003,1994,2003,2
Duke,273,72,0.7913043478260869,10,1994-2003,1994,2003,3
Connecticut,268,74,0.783625730994152,10,1994-2003,1994,2003,4
Arizona,262,71,0.7867867867867868,10,1994-2003,1994,2003,5
Kentucky,288,64,0.8181818181818182,10,1995-2004,1995,2004,1
Kansas,283,65,0.8132183908045977,10,1995-2004,1995,2004,2
Duke,276,72,0.7931034482758621,10,1995-2004,1995,2004,3
Connecticut,272,75,0.7838616714697406,10,1995-2004,1995,2004,4
Cincinnati,257,74,0.7764350453172205,10,1995-2004,1995,2004,5
Duke,290,60,0.8285714285714286,10,1996-2005,1996,2005,1
Kentucky,288,65,0.8158640226628895,10,1996-2005,1996,2005,2
Kansas,281,66,0.8097982708933718,10,1996-2005,1996,2005,3
Connecticut,267,78,0.7739130434782608,10,1996-2005,1996,2005,4
Cincinnati,260,70,0.7878787878787878,10,1996-2005,1996,2005,5
Duke,304,51,0.856338028169014,10,1997-2006,1997,2006,1
Kansas,277,69,0.8005780346820809,10,1997-2006,1997,2006,2
Kentucky,276,76,0.7840909090909091,10,1997-2006,1997,2006,3
Connecticut,265,79,0.7703488372093024,10,1997-2006,1997,2006,4
Gonzaga,255,70,0.7846153846153846,10,1997-2006,1997,2006,5
Duke,302,53,0.8507042253521127,10,1998-2007,1998,2007,1
Kansas,276,72,0.7931034482758621,10,1998-2007,1998,2007,2
Connecticut,264,78,0.7719298245614035,10,1998-2007,1998,2007,3
Gonzaga,263,69,0.79216867469879515,10,1998-2007,1998,2007,4
Kentucky,263,83,0.7601156069364162,10,1998-2007,1998,2007,5
Duke,298,55,0.8441926345609065,10,1999-2008,1999,2008,1
Kansas,278,71,0.7965616045845272,10,1999-2008,1999,2008,2
Gonzaga,264,67,0.797583081570997,10,1999-2008,1999,2008,3
Florida,258,83,0.7565982404692082,10,1999-2008,1999,2008,4
Connecticut,256,82,0.757396449704142,10,1999-2008,1999,2008,5
Duke,291,60,0.8290598290598291,10,2000-2009,2000,2009,1
Kansas,282,69,0.8034188034188035,10,2000-2009,2000,2009,2
Memphis,267,85,0.7585227272727273,10,2000-2009,2000,2009,3
Gonzaga,264,66,0.8,10,2000-2009,2000,2009,4
Florida,261,85,0.7543352601156069,10,2000-2009,2000,2009,5
Duke,297,60,0.8319327731092437,10,2001-2010,2001,2010,1
Kansas,291,62,0.8243626062322946,10,2001-2010,2001,2010,2
Memphis,276,79,0.7774647887323943,10,2001-2010,2001,2010,3
Gonzaga,265,64,0.8054711246200608,10,2001-2010,2001,2010,4
Pittsburgh,264,79,0.7696793002915452,10,2001-2010,2001,2010,5
Kansas,300,58,0.8379888268156425,10,2002-2011,2002,2011,1
Duke,294,61,0.828169014084507,10,2002-2011,2002,2011,2
Memphis,280,74,0.7909604519774012,10,2002-2011,2002,2011,3
Pittsburgh,273,71,0.7936046511627907,10,2002-2011,2002,2011,4
Gonzaga,264,67,0.797583081570997,10,2002-2011,2002,2011,5
Kansas,299,61,0.8305555555555556,10,2003-2012,2003,2012,1
Duke,290,64,0.8192090395480226,10,2003-2012,2003,2012,2
Memphis,279,74,0.7903682719546742,10,2003-2012,2003,2012,3
North Carolina,276,84,0.7666666666666667,10,2003-2012,2003,2012,4
Kentucky,273,81,0.7711864406779662,10,2003-2012,2003,2012,5
Kansas,300,59,0.8356545961002786,10,2004-2013,2004,2013,1
Duke,294,63,0.8235294117647058,10,2004-2013,2004,2013,2
Memphis,287,72,0.7994428969359332,10,2004-2013,2004,2013,3
North Carolina,282,79,0.7811634349030471,10,2004-2013,2004,2013,4
Gonzaga,269,64,0.8078078078078078,10,2004-2013,2004,2013,5
Kansas,301,60,0.8337950138504155,10,2005-2014,2005,2014,1
Duke,289,66,0.8140845070422535,10,2005-2014,2005,2014,2
Memphis,289,74,0.7961432506887053,10,2005-2014,2005,2014,3
North Carolina,287,78,0.7863013698630137,10,2005-2014,2005,2014,4
Florida,282,85,0.7683923705722071,10,2005-2014,2005,2014,5
Kansas,305,62,0.8310626702997275,10,2006-2015,2006,2015,1
Duke,297,64,0.8227146814404432,10,2006-2015,2006,2015,2
Memphis,285,72,0.7983193277310925,10,2006-2015,2006,2015,3
North Carolina,280,86,0.7650273224043715,10,2006-2015,2006,2015,4
Gonzaga,279,66,0.808695652173913,10,2006-2015,2006,2015,5
Kansas,313,59,0.8413978494623656,10,2007-2016,2007,2016,1
Duke,290,71,0.8033240997229917,10,2007-2016,2007,2016,2
North Carolina,290,85,0.7733333333333333,10,2007-2016,2007,2016,3
Kentucky,279,86,0.7643835616438356,10,2007-2016,2007,2016,4
Gonzaga,278,70,0.7988505747126436,10,2007-2016,2007,2016,5
Kansas,311,59,0.8405405405405405,10,2008-2017,2008,2017,1
Duke,296,69,0.810958904109589,10,2008-2017,2008,2017,2
Gonzaga,292,61,0.8271954674220963,10,2008-2017,2008,2017,3
North Carolina,292,85,0.7745358090185677,10,2008-2017,2008,2017,4
Kentucky,289,80,0.7831978319783198,10,2008-2017,2008,2017,5
Kansas,305,64,0.8265582655826558,10,2009-2018,2009,2018,1
Gonzaga,299,58,0.8375350140056023,10,2009-2018,2009,2018,2
Duke,297,71,0.8070652173913043,10,2009-2018,2009,2018,3
Kentucky,297,78,0.792,10,2009-2018,2009,2018,4
North Carolina,282,93,0.752,10,2009-2018,2009,2018,5
Kentucky,305,71,0.8111702127659575,10,2010-2019,2010,2019,1
Gonzaga,304,56,0.8444444444444444,10,2010-2019,2010,2019,2
Kansas,304,66,0.8216216216216217,10,2010-2019,2010,2019,3
Duke,299,70,0.8102981029810298,10,2010-2019,2010,2019,4
Wichita State,280,76,0.7865168539325843,10,2010-2019,2010,2019,5
Gonzaga,308,51,0.8579387186629527,10,2011-2020,2011,2020,1
Kansas,299,66,0.8191780821917808,10,2011-2020,2011,2020,2
Kentucky,295,74,0.7994579945799458,10,2011-2020,2011,2020,3
Duke,289,71,0.8027777777777778,10,2011-2020,2011,2020,4
Wichita State,278,74,0.7897727272727273,10,2011-2020,2011,2020,5
Gonzaga,314,42,0.8820224719101124,10,2012-2021,2012,2021,1
Kansas,285,72,0.7983193277310925,10,2012-2021,2012,2021,2
Kentucky,275,81,0.7724719101123596,10,2012-2021,2012,2021,3
Duke,270,77,0.7780979827089337,10,2012-2021,2012,2021,4
Villanova,266,78,0.7732558139534884,10,2012-2021,2012,2021,5
Gonzaga,316,39,0.8901408450704226,10,2013-2022,2013,2022,1
Kansas,287,71,0.8016759776536313,10,2013-2022,2013,2022,2
Villanova,283,67,0.8085714285714286,10,2013-2022,2013,2022,3
Duke,275,77,0.78125,10,2013-2022,2013,2022,4
Arizona,266,78,0.7732558139534884,10,2013-2022,2013,2022,5
Gonzaga,315,42,0.8823529411764706,10,2014-2023,2014,2023,1
Kansas,284,73,0.7955182072829131,10,2014-2023,2014,2023,2
Villanova,280,70,0.8,10,2014-2023,2014,2023,3
Duke,272,80,0.7727272727272727,10,2014-2023,2014,2023,4
Arizona,267,77,0.7761627906976745,10,2014-2023,2014,2023,5
Gonzaga,313,43,0.8792134831460674,10,2015-2024,2015,2024,1
Kansas,282,74,0.7921348314606742,10,2015-2024,2015,2024,2
Duke,273,80,0.773371104815864,10,2015-2024,2015,2024,3
Villanova,269,81,0.7685714285714286,10,2015-2024,2015,2024,4
Houston,264,79,0.7696793002915452,10,2015-2024,2015,2024,5
